Route_Number,Route_Name,Direction,Tram_Stop_Name,Stop_Sequence,Tram_Tracker_ID,Metlink_Stop_ID,VicgridX,VicgridY,Boardings,Alightings
42,Box Hill to Victoria Harbour (Docklands),Up,29-Barkers Rd/High St (Kew),0027,1729,19742,2502093.401,2409783.053,,
42,Victoria Harbour (Docklands) to Box Hill,Down,26-Harrison Cres/Barkers Rd (Hawthorn),0027,2726,19388,2501409.704,2409872.874,,
42,Victoria Harbour (Docklands) to Box Hill,Down,26-Harrison Cres/Barkers Rd (Hawthorn),0027,2726,19388,2501409.704,2409872.874,,
48,North Balwyn to Victoria Harbour (Docklands),Up,22-Yarra Bvd/Bridge Rd (Richmond),0027,1922,19714,2501244.033,2408969.352,139.5393867,105.5053906
48,North Balwyn to Victoria Harbour (Docklands),Up,22-Yarra Bvd/Bridge Rd (Richmond),0027,1922,19714,2501244.033,2408969.352,115.7155914,20.42039824
48,North Balwyn to Victoria Harbour (Docklands),Up,22-Yarra Bvd/Bridge Rd (Richmond),0027,1922,19714,2501244.033,2408969.352,176.976783,23.82379794
48,Victoria Harbour (Docklands) to North Balwyn,Down,22-Yarra Bvd/Bridge Rd (Richmond),0027,2922,19713,2501236.993,2408991.55,25.79418755,212.8020413
48,Victoria Harbour (Docklands) to North Balwyn,Down,22-Yarra Bvd/Bridge Rd (Richmond),0027,2922,19713,2501236.993,2408991.55,19.34564066,58.03692174
48,Victoria Harbour (Docklands) to North Balwyn,Down,22-Yarra Bvd/Bridge Rd (Richmond),0027,2922,19713,2501236.993,2408991.55,16.12136722,119.298115
5,Malvern to Melbourne University,Down,25-Commercial Rd/St Kilda Rd (Melbourne City),0027,1025,19573,2498119.323,2406280.657,80.46027184,63.69771671
5,Malvern to Melbourne University,Down,25-Commercial Rd/St Kilda Rd (Melbourne City),0027,1025,19573,2498119.323,2406280.657,117.3378973,63.69771671
