Route_Number,Route_Name,Direction,Tram_Stop_Name,Stop_Sequence,Tram_Tracker_ID,Metlink_Stop_ID,VicgridX,VicgridY,Boardings,Alightings
42,Victoria Harbour (Docklands) to Box Hill,Down,25-River Bvd/Victoria St (Richmond),0026,2725,19387,2501166.336,2409917.084,7.496435165,
42,Victoria Harbour (Docklands) to Box Hill,Down,25-River Bvd/Victoria St (Richmond),0026,2725,19387,2501166.336,2409917.084,7.496435165,
48,North Balwyn to Victoria Harbour (Docklands),Up,23-Hawthorn Bridge/Bridge Rd (Hawthorn),0026,1923,22561,2501466.875,2409011.269,71.47139478,85.0849936
48,North Balwyn to Victoria Harbour (Docklands),Up,23-Hawthorn Bridge/Bridge Rd (Hawthorn),0026,1923,22561,2501466.875,2409011.269,27.22719765,23.82379794
48,North Balwyn to Victoria Harbour (Docklands),Up,23-Hawthorn Bridge/Bridge Rd (Hawthorn),0026,1923,22561,2501466.875,2409011.269,170.1699865,37.43739676
48,Victoria Harbour (Docklands) to North Balwyn,Down,21-Burnley St/Bridge Rd (Richmond),0026,2921,19712,2500781.292,2409053.869,22.56991386,45.13982821
48,Victoria Harbour (Docklands) to North Balwyn,Down,21-Burnley St/Bridge Rd (Richmond),0026,2921,19712,2500781.292,2409053.869,12.89709377,122.5223897
48,Victoria Harbour (Docklands) to North Balwyn,Down,21-Burnley St/Bridge Rd (Richmond),0026,2921,19712,2500781.292,2409053.869,25.79418731,112.84957
5,Malvern to Melbourne University,Down,26-Beatrice St/St Kilda Rd (Melbourne City),0026,1026,19572,2498214.977,2405944.604,26.82009125,3.352511406
5,Malvern to Melbourne University,Down,26-Beatrice St/St Kilda Rd (Melbourne City),0026,1026,19572,2498214.977,2405944.604,43.58264828,10.05753422
5,Malvern to Melbourne University,Down,26-Beatrice St/St Kilda Rd (Melbourne City),0026,1026,19572,2498214.977,2405944.604,77.10776138,3.352511406
5,Melbourne University to Malvern,Up,29-Union St/St Kilda Rd (St Kilda),0026,2029,19565,2498394.46,2405326.542,3.297552347,23.08286715
5,Melbourne University to Malvern,Up,29-Union St/St Kilda Rd (St Kilda),0026,2029,19565,2498394.46,2405326.542,9.892657042,32.97552347
5,Melbourne University to Malvern,Up,29-Union St/St Kilda Rd (St Kilda),0026,2029,19565,2498394.46,2405326.542,19.78531408,79.14125633
55,Domain Interchange to West Coburg,Down,22-Royal Park/Royal Park (Parkville),0026,2252,18543,2495530.16,2412175.774,,6.287333012
55,Domain Interchange to West Coburg,Down,22-Royal Park/Royal Park (Parkville),0026,2252,18543,2495530.16,2412175.774,,
55,Domain Interchange to West Coburg,Down,22-Royal Park/Royal Park (Parkville),0026,2252,18543,2495530.16,2412175.774,,3.143666506
55,West Coburg to Domain Interchange,Up,17-Royal Childrens Hospital/Flemington Rd (North Melbourne),0026,3176,19255,2495575.582,2411722.308,32.64576912,29.38119221
55,West Coburg to Domain Interchange,Up,17-Royal Childrens Hospital/Flemington Rd (North Melbourne),0026,3176,19255,2495575.582,2411722.308,45.70407677,6.529153824
55,West Coburg to Domain Interchange,Up,17-Royal Childrens Hospital/Flemington Rd (North Melbourne),0026,3176,19255,2495575.582,2411722.308,254.6369915,9.793730736
57,City(Elizabeth/Flinders st) to West Maribyrnong,Down,26-Newmarket Plaza/Racecourse Rd (Kensington),0026,2326,18529,2493692.624,2412544.177,42.16744995,38.65349579
57,City(Elizabeth/Flinders st) to West Maribyrnong,Down,26-Newmarket Plaza/Racecourse Rd (Kensington),0026,2326,18529,2493692.624,2412544.177,154.6139832,168.6697998
57,City(Elizabeth/Flinders st) to West Maribyrnong,Down,26-Newmarket Plaza/Racecourse Rd (Kensington),0026,2326,18529,2493692.624,2412544.177,316.2558746,179.2116623
57,West Maribyrnong to City(Elizabeth/Flinders st),Up,22-Boundary Rd/Racecourse Rd (North Melbourne),0026,1322,17958,2494702.09,2412427.23,17.38084793,31.28552628
57,West Maribyrnong to City(Elizabeth/Flinders st),Up,22-Boundary Rd/Racecourse Rd (North Melbourne),0026,1322,17958,2494702.09,2412427.23,41.71403503,55.61871338
57,West Maribyrnong to City(Elizabeth/Flinders st),Up,22-Boundary Rd/Racecourse Rd (North Melbourne),0026,1322,17958,2494702.09,2412427.23,27.80935669,66.04722214
59,Airport West to City(Elizabeth/Flinders st),Up,33-Moonee Ponds Junction/Pascoe Vale Rd (Moonee Ponds),0026,1294,19269,2493396.656,2414919.818,115.9604874,115.9604874
59,Airport West to City(Elizabeth/Flinders st),Up,33-Moonee Ponds Junction/Pascoe Vale Rd (Moonee Ponds),0026,1294,19269,2493396.656,2414919.818,347.8814621,288.1442413
59,Airport West to City(Elizabeth/Flinders st),Up,33-Moonee Ponds Junction/Pascoe Vale Rd (Moonee Ponds),0026,1294,19269,2493396.656,2414919.818,330.3116913,231.9209747
59,City (Elizabeth/Flinders St) to Airport West,Down,31-Montgomery St/Mt Alexander Rd (Moonee Ponds),0026,2292,19606,2493486.782,2414473.506,,6.952339172
59,City (Elizabeth/Flinders St) to Airport West,Down,31-Montgomery St/Mt Alexander Rd (Moonee Ponds),0026,2292,19606,2493486.782,2414473.506,17.38084793,55.61871338
59,City (Elizabeth/Flinders St) to Airport West,Down,31-Montgomery St/Mt Alexander Rd (Moonee Ponds),0026,2292,19606,2493486.782,2414473.506,13.90467834,121.6659355
6,Glen Iris to Melbourne University,Down,28-Punt Rd/High St (Windsor),0026,1150,17606,2498595.765,2405610.489,13.03727913,65.18639469
6,Glen Iris to Melbourne University,Down,28-Punt Rd/High St (Windsor),0026,1150,17606,2498595.765,2405610.489,42.37115717,35.8525176
6,Glen Iris to Melbourne University,Down,28-Punt Rd/High St (Windsor),0026,1150,17606,2498595.765,2405610.489,29.33387804,39.11183786
6,Melbourne University to Glen Iris,Up,29-Perth St/High St (Prahran),0026,2151,14033,2498937.592,2405538.618,9.777959347,
6,Melbourne University to Glen Iris,Up,29-Perth St/High St (Prahran),0026,2151,14033,2498937.592,2405538.618,26.07455826,29.33387852
6,Melbourne University to Glen Iris,Up,29-Perth St/High St (Prahran),0026,2151,14033,2498937.592,2405538.618,9.777959347,110.8168716
64,East Brighton to Melbourne University,Down,41-Cantala Ave/Dandenong Rd (Armadale),0026,1111,18440,2501552.203,2404344.408,3.512154818,3.512154818
64,East Brighton to Melbourne University,Down,41-Cantala Ave/Dandenong Rd (Armadale),0026,1111,18440,2501552.203,2404344.408,7.024309635,
64,East Brighton to Melbourne University,Down,41-Cantala Ave/Dandenong Rd (Armadale),0026,1111,18440,2501552.203,2404344.408,3.512154818,3.512154818
64,Melbourne University to East Brighton,Up,31-Queens Way/Queens Way (Windsor),0026,2101,19035,2498899.471,2404979.45,,
64,Melbourne University to East Brighton,Up,31-Queens Way/Queens Way (Windsor),0026,2101,19035,2498899.471,2404979.45,3.281849623,6.563699245
64,Melbourne University to East Brighton,Up,31-Queens Way/Queens Way (Windsor),0026,2101,19035,2498899.471,2404979.45,,29.5366466
67,Carnegie to Melbourne University,Down,43-Brighton Rd/Glenhuntly Rd (Elsternwick),0026,1043,18371,2499787.118,2401910.537,3.982925892,11.94877768
67,Carnegie to Melbourne University,Down,43-Brighton Rd/Glenhuntly Rd (Elsternwick),0026,1043,18371,2499787.118,2401910.537,3.982925892,11.94877768
67,Carnegie to Melbourne University,Down,43-Brighton Rd/Glenhuntly Rd (Elsternwick),0026,1043,18371,2499787.118,2401910.537,11.94877768,39.82925892
67,Melbourne University to Carnegie,Up,29-Union St/St Kilda Rd (St Kilda),0026,2029,19565,2498394.46,2405326.542,,42.11707234
67,Melbourne University to Carnegie,Up,29-Union St/St Kilda Rd (St Kilda),0026,2029,19565,2498394.46,2405326.542,19.14412379,72.74766994
67,Melbourne University to Carnegie,Up,29-Union St/St Kilda Rd (St Kilda),0026,2029,19565,2498394.46,2405326.542,57.43237114,34.45942283
70,Waterfront City Docklands to Wattle Park,Down,14-Burnley St/Swan St (Richmond),0026,2767,19460,2500609.816,2408270.754,86.18482661,15.96015334
70,Waterfront City Docklands to Wattle Park,Down,14-Burnley St/Swan St (Richmond),0026,2767,19460,2500609.816,2408270.754,22.34421444,38.30436802
70,Waterfront City Docklands to Wattle Park,Down,14-Burnley St/Swan St (Richmond),0026,2767,19460,2500609.816,2408270.754,12.76812267,51.07249022
