FID,recorddate,dam,volume_ML,volume_percentfull
17001,2015/07/04 14:00:00,Cardinia,167162,58.26
17002,2015/07/14 14:00:00,Cardinia,167385,58.34
17003,2015/06/29 14:00:00,Cardinia,166957,58.19
17004,2015/06/24 14:00:00,Cardinia,167964,58.54
17005,2015/06/24 14:00:00,Greenvale,22069,82.22
17006,2015/06/24 14:00:00,Maroondah,12978,58.51
17007,2015/06/24 14:00:00,O'Shannassy,1856,59.43
17008,2015/06/24 14:00:00,Silvan,34172,84.49
17009,2015/06/24 14:00:00,Upper Yarra,99048,49.38
17010,2015/06/24 14:00:00,Tarago,37731,100
17011,2015/06/24 14:00:00,Thomson,773601,72.43
17012,2015/06/24 14:00:00,Sugarloaf,66150,68.72
17013,2015/06/24 14:00:00,Yan Yean,25738,85.03
17014,2015/06/23 14:00:00,Cardinia,168232,58.63
17015,2015/06/23 14:00:00,Greenvale,22005,81.98
17016,2015/06/23 14:00:00,Maroondah,12882,58.08
17017,2015/06/23 14:00:00,O'Shannassy,1913,61.25
17018,2015/06/23 14:00:00,Silvan,34172,84.49
17019,2015/06/23 14:00:00,Upper Yarra,98602,49.15
17020,2015/06/23 14:00:00,Tarago,37753,100
17021,2015/06/23 14:00:00,Thomson,774214,72.49
17022,2015/06/23 14:00:00,Sugarloaf,66428,69.01
17023,2015/06/23 14:00:00,Yan Yean,25738,85.03
17024,2015/06/22 14:00:00,Cardinia,168482,58.72
17025,2015/06/22 14:00:00,Greenvale,21925,81.69
17026,2015/06/22 14:00:00,Maroondah,12803,57.72
17027,2015/06/22 14:00:00,O'Shannassy,1966,62.95
17028,2015/06/22 14:00:00,Silvan,34248,84.67
17029,2015/06/22 14:00:00,Upper Yarra,98238,48.97
17030,2015/06/22 14:00:00,Tarago,37753,100
17031,2015/06/22 14:00:00,Thomson,774755,72.54
17032,2015/06/22 14:00:00,Sugarloaf,66671,69.26
17033,2015/06/22 14:00:00,Yan Yean,25738,85.03
17034,2015/06/21 14:00:00,Cardinia,168723,58.8
17035,2015/06/21 14:00:00,Greenvale,21852,81.41
17036,2015/06/21 14:00:00,Maroondah,12740,57.44
17037,2015/06/21 14:00:00,O'Shannassy,2015,64.52
17038,2015/06/21 14:00:00,Silvan,34445,85.16
17039,2015/06/21 14:00:00,Upper Yarra,98546,49.13
17040,2015/06/21 14:00:00,Yan Yean,25738,85.03
17041,2015/06/21 14:00:00,Tarago,37771,100
17042,2015/06/21 14:00:00,Thomson,774647,72.53
17043,2015/06/21 14:00:00,Sugarloaf,66844,69.44
17044,2015/06/20 14:00:00,Cardinia,168975,58.89
17045,2015/06/20 14:00:00,Greenvale,21788,81.18
17046,2015/06/20 14:00:00,O'Shannassy,2057,65.86
17047,2015/06/20 14:00:00,Silvan,34507,85.31
17048,2015/06/20 14:00:00,Upper Yarra,98872,49.29
17049,2015/06/20 14:00:00,Maroondah,12662,57.09
17050,2015/06/20 14:00:00,Tarago,37745,100
17051,2015/06/20 14:00:00,Thomson,774304,72.5
17052,2015/06/20 14:00:00,Sugarloaf,67052,69.66
17053,2015/06/20 14:00:00,Yan Yean,25738,85.03
17054,2015/06/29 14:00:00,Greenvale,22342,83.24
17055,2015/06/29 14:00:00,Maroondah,13442,60.6
17056,2015/06/29 14:00:00,O'Shannassy,1879,60.16
17057,2015/06/29 14:00:00,Silvan,34021,84.11
17058,2015/06/29 14:00:00,Upper Yarra,100783,50.24
17059,2015/06/29 14:00:00,Tarago,37652,100
17060,2015/06/29 14:00:00,Thomson,770390,72.13
17061,2015/06/29 14:00:00,Sugarloaf,65249,67.78
17062,2015/06/29 14:00:00,Yan Yean,25738,85.03
17063,2015/06/28 14:00:00,Cardinia,167206,58.27
17064,2015/06/28 14:00:00,Greenvale,22293,83.06
17065,2015/06/28 14:00:00,Maroondah,13362,60.24
17066,2015/06/28 14:00:00,O'Shannassy,1823,58.37
17067,2015/06/28 14:00:00,Silvan,33810,83.59
17068,2015/06/28 14:00:00,Upper Yarra,100726,50.21
17069,2015/06/28 14:00:00,Tarago,37674,100
17070,2015/06/28 14:00:00,Thomson,771075,72.19
17071,2015/06/28 14:00:00,Sugarloaf,65422,67.96
17072,2015/06/28 14:00:00,Yan Yean,25738,85.03
17073,2015/06/27 14:00:00,Cardinia,167456,58.36
17074,2015/06/27 14:00:00,Greenvale,22229,82.82
17075,2015/06/27 14:00:00,Maroondah,13282,59.88
17076,2015/06/27 14:00:00,O'Shannassy,1835,58.75
17077,2015/06/27 14:00:00,Silvan,33810,83.59
17078,2015/06/27 14:00:00,Upper Yarra,100291,50
17079,2015/06/27 14:00:00,Tarago,37688,100
17080,2015/06/27 14:00:00,Thomson,771671,72.25
17081,2015/06/27 14:00:00,Sugarloaf,65595,68.14
17082,2015/06/27 14:00:00,Yan Yean,25738,85.03
17083,2015/06/26 14:00:00,Yan Yean,25738,85.03
17084,2015/06/26 14:00:00,Cardinia,167714,58.45
17085,2015/06/26 14:00:00,Greenvale,22181,82.64
17086,2015/06/26 14:00:00,O'Shannassy,1842,58.98
17087,2015/06/26 14:00:00,Silvan,33870,83.74
17088,2015/06/26 14:00:00,Upper Yarra,99858,49.78
17089,2015/06/26 14:00:00,Maroondah,13202,59.52
17090,2015/06/26 14:00:00,Tarago,37699,100
17091,2015/06/26 14:00:00,Thomson,772374,72.31
17092,2015/06/26 14:00:00,Sugarloaf,65804,68.36
17093,2015/06/25 14:00:00,Cardinia,167696,58.44
17094,2015/06/25 14:00:00,Greenvale,22107,82.36
17095,2015/06/25 14:00:00,Maroondah,13090,59.01
17096,2015/06/25 14:00:00,O'Shannassy,1850,59.23
17097,2015/06/25 14:00:00,Silvan,34172,84.49
17098,2015/06/25 14:00:00,Upper Yarra,99453,49.58
17099,2015/06/25 14:00:00,Thomson,772969,72.37
17100,2015/06/25 14:00:00,Sugarloaf,66012,68.58
17101,2015/06/25 14:00:00,Yan Yean,25738,85.03
17102,2015/06/25 14:00:00,Tarago,37713,100
17103,2015/07/14 14:00:00,Greenvale,23370,87.07
17104,2015/07/04 14:00:00,Greenvale,22667,84.45
17105,2015/07/04 14:00:00,Maroondah,14009,63.16
17106,2015/07/04 14:00:00,O'Shannassy,2362,75.63
17107,2015/07/04 14:00:00,Silvan,34263,84.71
17108,2015/07/04 14:00:00,Upper Yarra,101142,50.42
17109,2015/07/04 14:00:00,Yan Yean,25723,84.98
17110,2015/07/04 14:00:00,Tarago,37735,100
17111,2015/07/04 14:00:00,Thomson,767450,71.85
17112,2015/07/04 14:00:00,Sugarloaf,64369,66.87
17113,2015/07/03 14:00:00,Greenvale,22585,84.14
17114,2015/07/03 14:00:00,Maroondah,13862,62.5
17115,2015/07/03 14:00:00,O'Shannassy,2247,71.95
17116,2015/07/03 14:00:00,Silvan,33901,83.82
17117,2015/07/03 14:00:00,Upper Yarra,101047,50.37
17118,2015/07/03 14:00:00,Yan Yean,25723,84.98
17119,2015/07/03 14:00:00,Cardinia,167349,58.32
17120,2015/07/03 14:00:00,Tarago,37710,100
17121,2015/07/03 14:00:00,Thomson,768099,71.91
17122,2015/07/03 14:00:00,Sugarloaf,64503,67.01
17123,2015/07/02 14:00:00,Cardinia,167287,58.3
17124,2015/07/02 14:00:00,Greenvale,22520,83.9
17125,2015/07/02 14:00:00,Maroondah,13781,62.13
17126,2015/07/02 14:00:00,O'Shannassy,2162,69.22
17127,2015/07/02 14:00:00,Silvan,33870,83.74
17128,2015/07/02 14:00:00,Upper Yarra,100953,50.33
17129,2015/07/02 14:00:00,Thomson,768695,71.97
17130,2015/07/02 14:00:00,Sugarloaf,64737,67.25
17131,2015/07/02 14:00:00,Yan Yean,25749,85.07
17132,2015/07/02 14:00:00,Tarago,37713,100
17133,2015/07/01 14:00:00,Cardinia,167189,58.27
17134,2015/07/01 14:00:00,Greenvale,22455,83.66
17135,2015/07/01 14:00:00,Maroondah,13650,61.54
17136,2015/07/01 14:00:00,O'Shannassy,2032,65.06
17137,2015/07/01 14:00:00,Silvan,33931,83.89
17138,2015/07/01 14:00:00,Upper Yarra,100835,50.27
17139,2015/07/01 14:00:00,Thomson,769109,72.01
17140,2015/07/01 14:00:00,Sugarloaf,64938,67.46
17141,2015/07/01 14:00:00,Yan Yean,25749,85.07
17142,2015/07/01 14:00:00,Tarago,37681,100
17143,2015/06/30 14:00:00,Cardinia,167073,58.23
17144,2015/06/30 14:00:00,Greenvale,22407,83.48
17145,2015/06/30 14:00:00,Maroondah,13538,61.03
17146,2015/06/30 14:00:00,O'Shannassy,1950,62.43
17147,2015/06/30 14:00:00,Silvan,33961,83.96
17148,2015/06/30 14:00:00,Upper Yarra,100778,50.24
17149,2015/06/30 14:00:00,Tarago,37645,100
17150,2015/06/30 14:00:00,Thomson,769795,72.07
17151,2015/06/30 14:00:00,Sugarloaf,65075,67.6
17152,2015/06/30 14:00:00,Yan Yean,25749,85.07
17153,2015/07/14 14:00:00,Maroondah,16162,72.87
17154,2015/07/14 14:00:00,O'Shannassy,3107,99.48
17155,2015/07/14 14:00:00,Silvan,35157,86.92
17156,2015/07/14 14:00:00,Yan Yean,25927,85.66
17157,2015/07/14 14:00:00,Tarago,37860,100
17158,2015/07/14 14:00:00,Thomson,765015,71.63
17159,2015/07/14 14:00:00,Upper Yarra,104718,52.2
17160,2015/07/14 14:00:00,Sugarloaf,63934,66.42
17161,2015/07/13 14:00:00,Cardinia,167287,58.3
17162,2015/07/13 14:00:00,Greenvale,23287,86.76
17163,2015/07/13 14:00:00,Maroondah,15619,70.42
17164,2015/07/13 14:00:00,O'Shannassy,3165,100
17165,2015/07/13 14:00:00,Silvan,34940,86.38
17166,2015/07/13 14:00:00,Yan Yean,25927,85.66
17167,2015/07/13 14:00:00,Tarago,37860,100
17168,2015/07/13 14:00:00,Thomson,764510,71.58
17169,2015/07/13 14:00:00,Upper Yarra,103806,51.75
17170,2015/07/13 14:00:00,Sugarloaf,63867,66.35
17171,2015/07/12 14:00:00,Cardinia,167162,58.26
17172,2015/07/12 14:00:00,Greenvale,23188,86.39
17173,2015/07/12 14:00:00,Maroondah,14799,66.72
17174,2015/07/12 14:00:00,O'Shannassy,3211,100
17175,2015/07/12 14:00:00,Silvan,34693,85.77
17176,2015/07/12 14:00:00,Upper Yarra,102712,51.2
17177,2015/07/12 14:00:00,Yan Yean,25876,85.49
17178,2015/07/12 14:00:00,Thomson,763355,71.47
17179,2015/07/12 14:00:00,Sugarloaf,63600,66.07
17180,2015/07/12 14:00:00,Tarago,37670,100
17181,2015/07/11 14:00:00,Cardinia,167269,58.29
17182,2015/07/11 14:00:00,Greenvale,23106,86.09
17183,2015/07/11 14:00:00,Maroondah,14450,65.15
17184,2015/07/11 14:00:00,O'Shannassy,3102,99.32
17185,2015/07/11 14:00:00,Silvan,34293,84.78
17186,2015/07/11 14:00:00,Upper Yarra,102253,50.97
17187,2015/07/11 14:00:00,Yan Yean,25723,84.98
17188,2015/07/11 14:00:00,Thomson,763211,71.46
17189,2015/07/11 14:00:00,Sugarloaf,63533,66
17190,2015/07/11 14:00:00,Tarago,37656,100
17191,2015/07/10 14:00:00,Cardinia,167474,58.37
17192,2015/07/10 14:00:00,Greenvale,23041,85.84
17193,2015/07/10 14:00:00,Maroondah,14336,64.63
17194,2015/07/10 14:00:00,O'Shannassy,2864,91.7
17195,2015/07/10 14:00:00,Upper Yarra,101969,50.83
17196,2015/07/10 14:00:00,Yan Yean,25723,84.98
17197,2015/07/10 14:00:00,Thomson,763482,71.48
17198,2015/07/10 14:00:00,Silvan,33991,84.04
17199,2015/07/10 14:00:00,Tarago,37667,100
17200,2015/07/10 14:00:00,Sugarloaf,63466,65.93
17201,2015/05/10 14:00:00,Cardinia,173444,60.45
17202,2015/05/10 14:00:00,Greenvale,19675,73.3
17203,2015/05/10 14:00:00,Maroondah,8131,36.66
17204,2015/05/10 14:00:00,O'Shannassy,2714,86.9
17205,2015/05/10 14:00:00,Silvan,35838,88.6
17206,2015/05/10 14:00:00,Upper Yarra,109764,54.72
17207,2015/05/10 14:00:00,Tarago,36564,97.29
17208,2015/05/10 14:00:00,Thomson,772663,72.34
17209,2015/05/10 14:00:00,Sugarloaf,71312,74.08
17210,2015/05/10 14:00:00,Yan Yean,25519,84.31
17211,2015/05/09 14:00:00,Cardinia,173644,60.52
17212,2015/05/09 14:00:00,Greenvale,19592,72.99
17213,2015/05/09 14:00:00,Maroondah,7744,34.91
17214,2015/05/09 14:00:00,O'Shannassy,2290,73.32
17215,2015/05/09 14:00:00,Silvan,35498,87.76
17216,2015/05/09 14:00:00,Upper Yarra,109665,54.67
17217,2015/05/09 14:00:00,Thomson,772230,72.3
17218,2015/05/09 14:00:00,Tarago,36518,97.17
17219,2015/05/09 14:00:00,Sugarloaf,71527,74.31
17220,2015/05/09 14:00:00,Yan Yean,25493,84.22
17221,2015/05/08 14:00:00,Cardinia,173735,60.55
17222,2015/05/08 14:00:00,Greenvale,19499,72.65
17223,2015/05/08 14:00:00,Maroondah,7623,34.37
17224,2015/05/08 14:00:00,O'Shannassy,2155,69
17225,2015/05/08 14:00:00,Silvan,35157,86.92
17226,2015/05/08 14:00:00,Thomson,772933,72.37
17227,2015/05/08 14:00:00,Upper Yarra,109384,54.53
17228,2015/05/08 14:00:00,Tarago,36500,97.12
17229,2015/05/08 14:00:00,Sugarloaf,71743,74.53
17230,2015/05/08 14:00:00,Yan Yean,25519,84.31
17231,2015/05/07 14:00:00,Cardinia,173644,60.52
17232,2015/05/07 14:00:00,Greenvale,19411,72.32
17233,2015/05/07 14:00:00,O'Shannassy,2106,67.43
17234,2015/05/07 14:00:00,Silvan,35188,87
17235,2015/05/07 14:00:00,Upper Yarra,109151,54.41
17236,2015/05/07 14:00:00,Maroondah,7521,33.91
17237,2015/05/07 14:00:00,Tarago,36510,97.15
17238,2015/05/07 14:00:00,Thomson,773871,72.45
17239,2015/05/07 14:00:00,Sugarloaf,71994,74.79
17240,2015/05/07 14:00:00,Yan Yean,25493,84.22
17241,2015/05/06 14:00:00,Cardinia,173845,60.59
17242,2015/05/06 14:00:00,Greenvale,19313,71.95
17243,2015/05/06 14:00:00,O'Shannassy,2013,64.45
17244,2015/05/06 14:00:00,Silvan,35126,86.84
17245,2015/05/06 14:00:00,Upper Yarra,108864,54.27
17246,2015/05/06 14:00:00,Maroondah,7432,33.5
17247,2015/05/06 14:00:00,Tarago,36510,97.15
17248,2015/05/06 14:00:00,Thomson,774809,72.54
17249,2015/05/06 14:00:00,Sugarloaf,72290,75.1
17250,2015/05/06 14:00:00,Yan Yean,25483,84.19
17251,2015/05/20 14:00:00,Cardinia,175151,61.04
17252,2015/06/14 14:00:00,Cardinia,170231,59.33
17253,2015/06/04 14:00:00,Cardinia,172010,59.95
17254,2015/05/15 14:00:00,Cardinia,174940,60.97
17255,2015/05/25 14:00:00,Cardinia,174347,60.76
17256,2015/05/30 14:00:00,Cardinia,173189,60.36
17257,2015/06/09 14:00:00,Cardinia,171151,59.65
17258,2015/05/20 14:00:00,Greenvale,20413,76.05
17259,2015/05/15 14:00:00,Greenvale,20114,74.94
17260,2015/05/30 14:00:00,Greenvale,20925,77.96
17261,2015/06/09 14:00:00,Greenvale,21453,79.93
17262,2015/05/20 14:00:00,O'Shannassy,2808,89.91
17263,2015/05/15 14:00:00,O'Shannassy,3128,100
17264,2015/05/30 14:00:00,Maroondah,10009,45.12
17265,2015/06/09 14:00:00,Maroondah,11420,51.49
17266,2015/05/20 14:00:00,Silvan,35621,88.07
17267,2015/05/25 14:00:00,Greenvale,20643,76.91
17268,2015/06/04 14:00:00,Greenvale,21343,79.52
17269,2015/06/14 14:00:00,Greenvale,21540,80.25
17270,2015/05/15 14:00:00,Silvan,35529,87.84
17271,2015/05/30 14:00:00,O'Shannassy,2095,67.08
17272,2015/06/09 14:00:00,O'Shannassy,1897,60.74
17273,2015/05/20 14:00:00,Upper Yarra,103470,51.58
17274,2015/05/25 14:00:00,Maroondah,10198,45.98
17275,2015/06/04 14:00:00,Maroondah,10727,48.36
17276,2015/06/14 14:00:00,Maroondah,11989,54.05
17277,2015/05/15 14:00:00,Upper Yarra,107762,53.72
17278,2015/05/30 14:00:00,Silvan,34538,85.39
17279,2015/06/09 14:00:00,Silvan,34538,85.39
17280,2015/05/20 14:00:00,Maroondah,10652,48.02
17281,2015/05/25 14:00:00,O'Shannassy,2434,77.93
17282,2015/06/04 14:00:00,O'Shannassy,1929,61.76
17283,2015/06/14 14:00:00,O'Shannassy,2207,70.66
17284,2015/05/15 14:00:00,Maroondah,10023,45.19
17285,2015/05/30 14:00:00,Upper Yarra,97651,48.68
17286,2015/06/09 14:00:00,Upper Yarra,102073,50.88
17287,2015/05/20 14:00:00,Tarago,37359,99.41
17288,2015/05/25 14:00:00,Silvan,35033,86.61
17289,2015/06/04 14:00:00,Silvan,34724,85.85
17290,2015/06/14 14:00:00,Silvan,34248,84.67
17291,2015/05/15 14:00:00,Tarago,37101,98.72
17292,2015/05/30 14:00:00,Tarago,37180,98.93
17293,2015/06/09 14:00:00,Yan Yean,25621,84.65
17294,2015/05/20 14:00:00,Thomson,777789,72.82
17295,2015/05/25 14:00:00,Upper Yarra,99849,49.78
17296,2015/06/04 14:00:00,Thomson,776054,72.66
17297,2015/06/14 14:00:00,Upper Yarra,101567,50.63
17298,2015/05/15 14:00:00,Thomson,775783,72.63
17299,2015/05/30 14:00:00,Thomson,778887,72.92
17300,2015/06/09 14:00:00,Tarago,37520,99.84
17301,2015/05/20 14:00:00,Sugarloaf,72402,75.22
17302,2015/05/25 14:00:00,Tarago,37466,99.69
17303,2015/06/04 14:00:00,Upper Yarra,99738,49.72
17304,2015/06/14 14:00:00,Tarago,37645,100
17305,2015/05/15 14:00:00,Sugarloaf,72067,74.87
17306,2015/05/30 14:00:00,Sugarloaf,70343,73.08
17307,2015/06/09 14:00:00,Thomson,773186,72.39
17308,2015/05/20 14:00:00,Yan Yean,25636,84.7
17309,2015/05/25 14:00:00,Thomson,779253,72.96
17310,2015/06/04 14:00:00,Yan Yean,25687,84.87
17311,2015/06/14 14:00:00,Thomson,772230,72.3
17312,2015/05/15 14:00:00,Yan Yean,25611,84.61
17313,2015/05/30 14:00:00,Yan Yean,25621,84.65
17314,2015/06/09 14:00:00,Sugarloaf,68763,71.43
17315,2015/05/19 14:00:00,Upper Yarra,104262,51.98
17316,2015/05/25 14:00:00,Sugarloaf,71312,74.08
17317,2015/06/04 14:00:00,Tarago,37359,99.41
17318,2015/06/14 14:00:00,Sugarloaf,68024,70.67
17319,2015/05/14 14:00:00,Cardinia,174648,60.87
17320,2015/05/29 14:00:00,Cardinia,173462,60.45
17321,2015/06/08 14:00:00,Cardinia,171376,59.73
17322,2015/05/19 14:00:00,Cardinia,175352,61.11
17323,2015/05/25 14:00:00,Yan Yean,25611,84.61
17324,2015/06/04 14:00:00,Sugarloaf,69445,72.14
17325,2015/06/14 14:00:00,Yan Yean,25713,84.95
17326,2015/05/14 14:00:00,Greenvale,20022,74.6
17327,2015/05/29 14:00:00,Greenvale,20838,77.64
17328,2015/06/08 14:00:00,Greenvale,21476,80.01
17329,2015/05/19 14:00:00,Greenvale,20337,75.77
17330,2015/05/24 14:00:00,Cardinia,174620,60.86
17331,2015/06/03 14:00:00,Cardinia,172200,60.01
17332,2015/06/13 14:00:00,Cardinia,170474,59.41
17333,2015/05/14 14:00:00,Maroondah,9763,44.01
17334,2015/05/29 14:00:00,Maroondah,9979,44.99
17335,2015/05/29 14:00:00,O'Shannassy,2160,69.16
17336,2015/05/29 14:00:00,Silvan,34569,85.47
17337,2015/05/29 14:00:00,Upper Yarra,97418,48.56
17338,2015/05/29 14:00:00,Tarago,37208,99.01
17339,2015/05/29 14:00:00,Thomson,779473,72.98
17340,2015/05/29 14:00:00,Sugarloaf,70558,73.3
17341,2015/05/29 14:00:00,Yan Yean,25621,84.65
17342,2015/05/28 14:00:00,Cardinia,173508,60.47
17343,2015/05/28 14:00:00,Greenvale,20759,77.34
17344,2015/05/28 14:00:00,Maroondah,9950,44.86
17345,2015/05/28 14:00:00,O'Shannassy,2234,71.53
17346,2015/05/28 14:00:00,Silvan,34816,86.08
17347,2015/05/28 14:00:00,Upper Yarra,97431,48.57
17348,2015/05/28 14:00:00,Tarago,37262,99.15
17349,2015/05/28 14:00:00,Thomson,779985,73.03
17350,2015/05/28 14:00:00,Sugarloaf,70738,73.49
17351,2015/05/28 14:00:00,Yan Yean,25636,84.7
17352,2015/05/27 14:00:00,Cardinia,173799,60.57
17353,2015/05/27 14:00:00,Greenvale,20697,77.11
17354,2015/05/27 14:00:00,Maroondah,9979,44.99
17355,2015/05/27 14:00:00,O'Shannassy,2294,73.45
17356,2015/05/27 14:00:00,Silvan,34847,86.15
17357,2015/05/27 14:00:00,Upper Yarra,98266,48.99
17358,2015/05/27 14:00:00,Tarago,37377,99.45
17359,2015/05/27 14:00:00,Thomson,779655,73
17360,2015/05/27 14:00:00,Sugarloaf,70953,73.71
17361,2015/05/27 14:00:00,Yan Yean,25636,84.7
17362,2015/05/26 14:00:00,Cardinia,174073,60.67
17363,2015/05/26 14:00:00,Greenvale,20674,77.02
17364,2015/05/26 14:00:00,Maroondah,10081,45.45
17365,2015/05/26 14:00:00,O'Shannassy,2365,75.72
17366,2015/05/26 14:00:00,Silvan,34909,86.31
17367,2015/05/26 14:00:00,Upper Yarra,99128,49.42
17368,2015/05/26 14:00:00,Tarago,37430,99.6
17369,2015/05/26 14:00:00,Thomson,779564,72.99
17370,2015/05/26 14:00:00,Sugarloaf,71097,73.86
17371,2015/05/26 14:00:00,Yan Yean,25611,84.61
17372,2015/05/19 14:00:00,Maroondah,10592,47.75
17373,2015/05/19 14:00:00,O'Shannassy,2897,92.76
17374,2015/05/19 14:00:00,Silvan,35467,87.69
17375,2015/05/19 14:00:00,Thomson,777569,72.8
17376,2015/05/19 14:00:00,Yan Yean,25662,84.78
17377,2015/05/19 14:00:00,Tarago,37280,99.2
17378,2015/05/19 14:00:00,Sugarloaf,72662,75.49
17379,2015/05/18 14:00:00,Cardinia,175609,61.2
17380,2015/05/18 14:00:00,Greenvale,20260,75.48
17381,2015/05/18 14:00:00,Maroondah,10488,47.28
17382,2015/05/18 14:00:00,O'Shannassy,2997,95.96
17383,2015/06/08 14:00:00,Maroondah,11252,50.73
17384,2015/05/18 14:00:00,Silvan,35343,87.38
17385,2015/06/08 14:00:00,O'Shannassy,1766,56.54
17386,2015/05/14 14:00:00,O'Shannassy,3155,100
17387,2015/05/18 14:00:00,Upper Yarra,105151,52.42
17388,2015/06/08 14:00:00,Silvan,34631,85.62
17389,2015/05/14 14:00:00,Silvan,35575,87.95
17390,2015/05/18 14:00:00,Tarago,37298,99.24
17391,2015/06/08 14:00:00,Upper Yarra,101558,50.63
17392,2015/05/14 14:00:00,Upper Yarra,108380,54.03
17393,2015/05/18 14:00:00,Thomson,777258,72.77
17394,2015/06/08 14:00:00,Yan Yean,25621,84.65
17395,2015/05/14 14:00:00,Tarago,36965,98.36
17396,2015/05/18 14:00:00,Sugarloaf,72774,75.6
17397,2015/06/08 14:00:00,Thomson,773745,72.44
17398,2015/05/14 14:00:00,Thomson,774845,72.55
17399,2015/05/18 14:00:00,Yan Yean,25585,84.53
17400,2015/06/08 14:00:00,Tarago,37502,99.79
17401,2015/05/14 14:00:00,Sugarloaf,71563,74.34
17402,2015/05/17 14:00:00,Cardinia,175517,61.17
17403,2015/06/08 14:00:00,Sugarloaf,68943,71.62
17404,2015/05/14 14:00:00,Yan Yean,25595,84.56
17405,2015/05/17 14:00:00,Greenvale,20260,75.48
17406,2015/06/07 14:00:00,Cardinia,171548,59.79
17407,2015/05/13 14:00:00,Cardinia,174329,60.76
17408,2015/05/17 14:00:00,Maroondah,10387,46.83
17409,2015/06/07 14:00:00,Greenvale,21445,79.9
17410,2015/05/13 14:00:00,Greenvale,19938,74.28
17411,2015/05/17 14:00:00,O'Shannassy,3034,97.15
17412,2015/06/07 14:00:00,O'Shannassy,1786,57.18
17413,2015/05/13 14:00:00,Maroondah,9214,41.54
17414,2015/05/17 14:00:00,Silvan,35312,87.3
17415,2015/06/07 14:00:00,Silvan,34585,85.51
17416,2015/05/13 14:00:00,O'Shannassy,3094,99.07
17417,2015/05/17 14:00:00,Upper Yarra,106150,52.92
17418,2015/06/07 14:00:00,Thomson,774250,72.49
17419,2015/05/13 14:00:00,Silvan,35590,87.99
17420,2015/05/17 14:00:00,Tarago,37226,99.05
17421,2015/06/07 14:00:00,Upper Yarra,101113,50.41
17422,2015/05/13 14:00:00,Upper Yarra,108677,54.18
17423,2015/05/17 14:00:00,Thomson,776874,72.74
17424,2015/06/07 14:00:00,Yan Yean,25646,84.73
17425,2015/05/13 14:00:00,Tarago,36815,97.96
17426,2015/05/17 14:00:00,Sugarloaf,72774,75.6
17427,2015/06/07 14:00:00,Maroondah,11147,50.25
17428,2015/05/13 14:00:00,Thomson,773727,72.44
17429,2015/05/17 14:00:00,Yan Yean,25595,84.56
17430,2015/06/07 14:00:00,Tarago,37448,99.64
17431,2015/05/13 14:00:00,Sugarloaf,71348,74.12
17432,2015/05/16 14:00:00,Cardinia,175233,61.07
17433,2015/06/07 14:00:00,Sugarloaf,69086,71.77
17434,2015/05/13 14:00:00,Yan Yean,25560,84.45
17435,2015/05/16 14:00:00,Greenvale,20183,75.2
17436,2015/06/06 14:00:00,Cardinia,171783,59.87
17437,2015/05/12 14:00:00,Cardinia,174036,60.65
17438,2015/05/16 14:00:00,O'Shannassy,3052,97.72
17439,2015/06/06 14:00:00,Greenvale,21413,79.78
17440,2015/05/12 14:00:00,Greenvale,19855,73.97
17441,2015/05/16 14:00:00,Silvan,35452,87.65
17442,2015/06/06 14:00:00,O'Shannassy,1813,58.05
17443,2015/05/12 14:00:00,Maroondah,8774,39.55
17444,2015/05/16 14:00:00,Upper Yarra,107013,53.35
17445,2015/06/06 14:00:00,Silvan,34538,85.39
17446,2015/05/12 14:00:00,O'Shannassy,3003,96.15
17447,2015/05/16 14:00:00,Maroondah,10241,46.17
17448,2015/06/06 14:00:00,Thomson,774827,72.54
17449,2015/05/12 14:00:00,Silvan,35621,88.07
17450,2015/05/16 14:00:00,Thomson,776416,72.69
17451,2015/06/06 14:00:00,Upper Yarra,100660,50.18
17452,2015/05/12 14:00:00,Upper Yarra,109220,54.45
17453,2015/05/12 14:00:00,Tarago,36697,97.65
17454,2015/05/12 14:00:00,Thomson,773059,72.38
17455,2015/05/12 14:00:00,Sugarloaf,70953,73.71
17456,2015/05/12 14:00:00,Yan Yean,25560,84.45
17457,2015/05/11 14:00:00,Cardinia,173735,60.55
17458,2015/05/11 14:00:00,Greenvale,19765,73.64
17459,2015/05/11 14:00:00,Maroondah,8515,38.39
17460,2015/05/11 14:00:00,O'Shannassy,2972,95.16
17461,2015/05/11 14:00:00,Silvan,35652,88.14
17462,2015/05/11 14:00:00,Upper Yarra,109789,54.73
17463,2015/05/11 14:00:00,Thomson,772609,72.34
17464,2015/05/11 14:00:00,Tarago,36643,97.5
17465,2015/05/11 14:00:00,Sugarloaf,71168,73.93
17466,2015/05/11 14:00:00,Yan Yean,25483,84.19
17467,2015/06/13 14:00:00,Greenvale,21516,80.16
17468,2015/06/03 14:00:00,Greenvale,21264,79.22
17469,2015/05/24 14:00:00,Greenvale,20613,76.8
17470,2015/05/24 14:00:00,Maroondah,10299,46.43
17471,2015/05/24 14:00:00,O'Shannassy,2503,80.14
17472,2015/05/24 14:00:00,Silvan,35142,86.88
17473,2015/05/24 14:00:00,Upper Yarra,100598,50.15
17474,2015/05/24 14:00:00,Tarago,37484,99.74
17475,2015/05/24 14:00:00,Thomson,779161,72.95
17476,2015/05/24 14:00:00,Sugarloaf,71527,74.31
17477,2015/05/24 14:00:00,Yan Yean,25621,84.65
