FID,recorddate,dam,volume_ML,volume_percentfull
99,2020/01/25 12:59:59,Upper Yarra,87070,43.4
100,2020/01/25 12:59:59,Sugarloaf,92253,95.84
101,2020/02/13 12:59:59,Cardinia,226556,78.96
102,2020/02/13 12:59:59,Greenvale,23544,87.72
103,2020/02/13 12:59:59,O'Shannassy,241,7.71
104,2020/02/13 12:59:59,Yan Yean,20687,68.35
105,2020/02/13 12:59:59,Upper Yarra,87808,43.77
106,2020/02/13 12:59:59,Maroondah,18958,85.47
107,2020/02/13 12:59:59,Silvan,35098,86.77
108,2020/02/13 12:59:59,Thomson,593702,55.59
109,2020/02/13 12:59:59,Sugarloaf,89621,93.1
110,2020/02/13 12:59:59,Tarago,24424,64.99
111,2020/02/12 12:59:59,Cardinia,226974,79.1
112,2020/02/12 12:59:59,Greenvale,23544,87.72
113,2020/02/12 12:59:59,O'Shannassy,251,8.03
114,2020/02/12 12:59:59,Yan Yean,20687,68.35
115,2020/02/12 12:59:59,Maroondah,19107,86.14
116,2020/02/12 12:59:59,Silvan,34943,86.39
117,2020/02/12 12:59:59,Tarago,24429,65
118,2020/02/12 12:59:59,Thomson,593810,55.6
119,2020/02/12 12:59:59,Upper Yarra,88045,43.89
120,2020/02/12 12:59:59,Sugarloaf,89748,93.24
121,2020/02/11 12:59:59,Yan Yean,20687,68.35
122,2020/02/11 12:59:59,Cardinia,227340,79.23
123,2020/02/11 12:59:59,Greenvale,23536,87.69
124,2020/02/11 12:59:59,O'Shannassy,253,8.1
125,2020/02/11 12:59:59,Thomson,593996,55.61
126,2020/02/11 12:59:59,Upper Yarra,87842,43.79
127,2020/02/11 12:59:59,Maroondah,19238,86.73
128,2020/02/11 12:59:59,Silvan,35151,86.91
129,2020/02/11 12:59:59,Tarago,24424,64.99
130,2020/02/11 12:59:59,Sugarloaf,90002,93.5
131,2020/02/10 12:59:59,Cardinia,227737,79.37
132,2020/02/10 12:59:59,Greenvale,23502,87.56
133,2020/02/10 12:59:59,O'Shannassy,251,8.03
134,2020/02/10 12:59:59,Yan Yean,20687,68.35
135,2020/02/10 12:59:59,Maroondah,19350,87.24
136,2020/02/10 12:59:59,Silvan,35328,87.34
137,2020/02/10 12:59:59,Tarago,24429,65
138,2020/02/10 12:59:59,Thomson,594228,55.63
139,2020/02/10 12:59:59,Upper Yarra,87649,43.69
140,2020/02/10 12:59:59,Sugarloaf,90213,93.72
141,2020/02/09 12:59:59,Cardinia,228116,79.5
142,2020/02/09 12:59:59,Greenvale,23453,87.38
143,2020/02/09 12:59:59,O'Shannassy,223,7.14
144,2020/02/09 12:59:59,Yan Yean,20687,68.35
145,2020/02/09 12:59:59,Silvan,35551,87.89
146,2020/02/09 12:59:59,Maroondah,19480,87.83
147,2020/02/09 12:59:59,Tarago,24415,64.96
148,2020/02/09 12:59:59,Thomson,594166,55.63
149,2020/02/09 12:59:59,Upper Yarra,87355,43.55
150,2020/02/09 12:59:59,Sugarloaf,90340,93.85
151,2020/02/18 12:59:59,Cardinia,225507,78.59
152,2020/02/18 12:59:59,Greenvale,23776,88.58
153,2020/02/18 12:59:59,O'Shannassy,319,10.21
154,2020/02/18 12:59:59,Yan Yean,20735,68.5
155,2020/02/18 12:59:59,Thomson,593439,55.56
156,2020/02/18 12:59:59,Maroondah,19051,85.89
157,2020/02/18 12:59:59,Silvan,35804,88.52
158,2020/02/18 12:59:59,Tarago,24438,65.02
159,2020/02/18 12:59:59,Upper Yarra,87083,43.41
160,2020/02/18 12:59:59,Sugarloaf,89706,93.19
161,2020/02/17 12:59:59,Cardinia,225647,78.64
162,2020/02/17 12:59:59,Greenvale,23725,88.39
163,2020/02/17 12:59:59,O'Shannassy,309,9.89
164,2020/02/17 12:59:59,Yan Yean,20687,68.35
165,2020/02/17 12:59:59,Maroondah,18735,84.47
166,2020/02/17 12:59:59,Silvan,35637,88.11
167,2020/02/17 12:59:59,Tarago,24415,64.96
168,2020/02/17 12:59:59,Thomson,593268,55.54
169,2020/02/17 12:59:59,Upper Yarra,87105,43.42
170,2020/02/17 12:59:59,Sugarloaf,89875,93.37
171,2020/02/16 12:59:59,Cardinia,225850,78.71
172,2020/02/16 12:59:59,Greenvale,23693,88.27
173,2020/02/16 12:59:59,O'Shannassy,325,10.4
174,2020/02/16 12:59:59,Yan Yean,20687,68.35
175,2020/02/16 12:59:59,Silvan,35630,88.09
176,2020/02/16 12:59:59,Maroondah,18735,84.47
177,2020/02/16 12:59:59,Tarago,24424,64.99
178,2020/02/16 12:59:59,Thomson,593501,55.57
179,2020/02/16 12:59:59,Upper Yarra,87299,43.52
180,2020/02/16 12:59:59,Sugarloaf,89875,93.37
181,2020/02/15 12:59:59,Cardinia,226096,78.8
182,2020/02/15 12:59:59,Greenvale,23661,88.15
183,2020/02/15 12:59:59,O'Shannassy,314,10.05
184,2020/02/15 12:59:59,Silvan,35544,87.88
185,2020/02/15 12:59:59,Yan Yean,20687,68.35
186,2020/02/15 12:59:59,Maroondah,18846,84.97
187,2020/02/15 12:59:59,Tarago,24429,65
188,2020/02/15 12:59:59,Thomson,593656,55.58
189,2020/02/15 12:59:59,Upper Yarra,87480,43.61
190,2020/02/15 12:59:59,Sugarloaf,89791,93.28
191,2020/02/14 12:59:59,Cardinia,226321,78.88
192,2020/02/14 12:59:59,Greenvale,23579,87.85
193,2020/02/14 12:59:59,O'Shannassy,366,11.71
194,2020/02/14 12:59:59,Yan Yean,20687,68.35
195,2020/02/14 12:59:59,Maroondah,18921,85.31
196,2020/02/14 12:59:59,Silvan,35337,87.37
197,2020/02/14 12:59:59,Tarago,24438,65.02
198,2020/02/14 12:59:59,Thomson,593733,55.59
199,2020/02/14 12:59:59,Upper Yarra,87662,43.7
200,2020/02/14 12:59:59,Sugarloaf,89748,93.24
201,2020/02/28 12:59:59,Cardinia,222822,77.66
202,2020/02/28 12:59:59,Greenvale,24351,90.72
203,2020/02/28 12:59:59,O'Shannassy,279,8.93
204,2020/02/28 12:59:59,Yan Yean,20687,68.35
205,2020/02/28 12:59:59,Upper Yarra,85591,42.67
206,2020/02/28 12:59:59,Maroondah,19219,86.65
207,2020/02/28 12:59:59,Silvan,35306,87.29
208,2020/02/28 12:59:59,Tarago,24438,65.02
209,2020/02/28 12:59:59,Thomson,595885,55.79
210,2020/02/28 12:59:59,Sugarloaf,89072,92.53
211,2020/02/27 12:59:59,Cardinia,223152,77.77
212,2020/02/27 12:59:59,Greenvale,24309,90.57
213,2020/02/27 12:59:59,O'Shannassy,266,8.51
214,2020/02/27 12:59:59,Yan Yean,20687,68.35
215,2020/02/27 12:59:59,Thomson,595792,55.78
216,2020/02/27 12:59:59,Upper Yarra,85625,42.68
217,2020/02/27 12:59:59,Maroondah,19312,87.07
218,2020/02/27 12:59:59,Silvan,35442,87.63
219,2020/02/27 12:59:59,Tarago,24443,65.04
220,2020/02/27 12:59:59,Sugarloaf,89072,92.53
221,2020/02/26 12:59:59,O'Shannassy,291,9.31
222,2020/02/26 12:59:59,Greenvale,24267,90.41
223,2020/02/26 12:59:59,Yan Yean,20687,68.35
224,2020/02/26 12:59:59,Cardinia,223534,77.91
225,2020/02/26 12:59:59,Thomson,595807,55.78
226,2020/02/26 12:59:59,Silvan,35575,87.95
227,2020/02/26 12:59:59,Maroondah,19443,87.66
228,2020/02/26 12:59:59,Upper Yarra,85681,42.71
229,2020/02/26 12:59:59,Tarago,24443,65.04
230,2020/02/26 12:59:59,Sugarloaf,89156,92.62
231,2020/02/25 12:59:59,Cardinia,223886,78.03
232,2020/02/25 12:59:59,Greenvale,24200,90.16
233,2020/02/25 12:59:59,O'Shannassy,308,9.86
234,2020/02/25 12:59:59,Yan Yean,20687,68.35
235,2020/02/25 12:59:59,Thomson,595637,55.77
236,2020/02/25 12:59:59,Maroondah,19518,88
237,2020/02/25 12:59:59,Silvan,35695,88.25
238,2020/02/25 12:59:59,Tarago,24452,65.06
239,2020/02/25 12:59:59,Upper Yarra,85757,42.75
240,2020/02/03 12:59:59,O'Shannassy,241,7.71
241,2020/02/25 12:59:59,Sugarloaf,89029,92.49
242,2020/02/24 12:59:59,Cardinia,224259,78.16
243,2020/02/24 12:59:59,Greenvale,24133,89.91
244,2020/02/24 12:59:59,O'Shannassy,329,10.53
245,2020/02/24 12:59:59,Yan Yean,20687,68.35
246,2020/02/24 12:59:59,Silvan,35795,88.5
247,2020/02/24 12:59:59,Maroondah,19611,88.42
248,2020/02/24 12:59:59,Tarago,24443,65.04
249,2020/02/24 12:59:59,Thomson,595621,55.76
250,2020/02/24 12:59:59,Upper Yarra,85847,42.79
251,2020/02/24 12:59:59,Sugarloaf,89072,92.53
252,2020/02/23 12:59:59,O'Shannassy,354,11.33
253,2020/02/03 12:59:59,Greenvale,23155,86.27
254,2020/02/03 12:59:59,Yan Yean,20879,68.98
255,2020/02/03 12:59:59,Cardinia,230871,80.46
256,2020/02/03 12:59:59,Upper Yarra,87342,43.54
257,2020/02/03 12:59:59,Maroondah,20277,91.42
258,2020/02/03 12:59:59,Silvan,34980,86.48
259,2020/02/03 12:59:59,Tarago,24409,64.95
260,2020/02/03 12:59:59,Thomson,596550,55.85
261,2020/02/03 12:59:59,Sugarloaf,91017,94.56
262,2020/02/02 12:59:59,Cardinia,231273,80.6
263,2020/02/02 12:59:59,Greenvale,23089,86.02
264,2020/02/02 12:59:59,O'Shannassy,249,7.97
265,2020/02/02 12:59:59,Yan Yean,20879,68.98
266,2020/02/02 12:59:59,Maroondah,20373,91.85
267,2020/02/02 12:59:59,Silvan,34702,85.8
268,2020/02/02 12:59:59,Thomson,596643,55.86
269,2020/02/02 12:59:59,Upper Yarra,87765,43.75
270,2020/02/02 12:59:59,Sugarloaf,91186,94.73
271,2020/02/02 12:59:59,Tarago,24409,64.95
272,2020/02/01 12:59:59,Cardinia,231631,80.73
273,2020/02/01 12:59:59,Greenvale,23057,85.9
274,2020/02/01 12:59:59,O'Shannassy,248,7.94
275,2020/02/01 12:59:59,Yan Yean,20807,68.74
276,2020/02/01 12:59:59,Upper Yarra,87752,43.74
277,2020/02/01 12:59:59,Maroondah,20277,91.42
278,2020/02/01 12:59:59,Silvan,34838,86.13
279,2020/02/01 12:59:59,Tarago,24409,64.95
280,2020/02/01 12:59:59,Thomson,596612,55.86
281,2020/02/01 12:59:59,Sugarloaf,91355,94.91
282,2020/01/31 12:59:59,O'Shannassy,246,7.87
283,2020/01/31 12:59:59,Greenvale,22992,85.66
284,2020/01/31 12:59:59,Yan Yean,20807,68.74
285,2020/01/31 12:59:59,Cardinia,231848,80.8
286,2020/01/31 12:59:59,Maroondah,20163,90.91
287,2020/01/31 12:59:59,Silvan,34878,86.23
288,2020/01/31 12:59:59,Upper Yarra,87640,43.69
289,2020/01/31 12:59:59,Tarago,24429,65
290,2020/01/31 12:59:59,Thomson,596334,55.83
291,2020/01/31 12:59:59,Sugarloaf,91440,94.99
292,2020/01/30 12:59:59,Cardinia,232175,80.92
293,2020/01/30 12:59:59,Greenvale,23106,86.09
294,2020/01/30 12:59:59,O'Shannassy,246,7.87
295,2020/01/30 12:59:59,Yan Yean,20831,68.82
296,2020/02/23 12:59:59,Greenvale,24075,89.7
297,2020/01/30 12:59:59,Upper Yarra,87321,43.53
298,2020/02/23 12:59:59,Yan Yean,20687,68.35
299,2020/01/30 12:59:59,Maroondah,20125,90.73
300,2020/02/23 12:59:59,Cardinia,224611,78.28
301,2020/01/30 12:59:59,Silvan,35374,87.46
302,2020/02/23 12:59:59,Maroondah,19723,88.92
303,2020/01/30 12:59:59,Thomson,596845,55.88
304,2020/02/23 12:59:59,Silvan,35903,88.76
305,2020/01/30 12:59:59,Sugarloaf,91609,95.17
306,2020/02/23 12:59:59,Upper Yarra,85915,42.83
307,2020/01/30 12:59:59,Tarago,24415,64.96
308,2020/02/23 12:59:59,Tarago,24438,65.02
309,2020/02/23 12:59:59,Thomson,595405,55.74
310,2020/02/23 12:59:59,Sugarloaf,88945,92.4
311,2020/02/22 12:59:59,O'Shannassy,383,12.26
312,2020/02/22 12:59:59,Cardinia,224792,78.34
313,2020/02/22 12:59:59,Greenvale,24033,89.54
314,2020/02/22 12:59:59,Yan Yean,20783,68.66
315,2020/02/22 12:59:59,Thomson,595266,55.73
316,2020/02/22 12:59:59,Maroondah,19723,88.92
317,2020/02/22 12:59:59,Silvan,35956,88.9
318,2020/02/22 12:59:59,Tarago,24438,65.02
319,2020/02/22 12:59:59,Upper Yarra,86261,43
320,2020/02/22 12:59:59,Sugarloaf,88902,92.36
321,2020/02/21 12:59:59,Cardinia,224963,78.4
322,2020/02/21 12:59:59,Greenvale,23966,89.29
323,2020/02/21 12:59:59,O'Shannassy,383,12.26
324,2020/02/21 12:59:59,Yan Yean,20783,68.66
325,2020/02/21 12:59:59,Maroondah,19723,88.92
326,2020/02/21 12:59:59,Silvan,35991,88.98
327,2020/02/21 12:59:59,Tarago,24415,64.96
328,2020/02/21 12:59:59,Thomson,595033,55.71
329,2020/02/21 12:59:59,Upper Yarra,86590,43.17
330,2020/02/21 12:59:59,Sugarloaf,88902,92.36
331,2020/02/20 12:59:59,O'Shannassy,398,12.74
332,2020/02/20 12:59:59,Greenvale,23899,89.04
333,2020/02/20 12:59:59,Yan Yean,20783,68.66
334,2020/02/20 12:59:59,Cardinia,225229,78.5
335,2020/02/20 12:59:59,Upper Yarra,86889,43.31
336,2020/02/20 12:59:59,Maroondah,19704,88.84
337,2020/02/20 12:59:59,Silvan,35997,89
338,2020/02/20 12:59:59,Thomson,594786,55.69
339,2020/02/20 12:59:59,Sugarloaf,89029,92.49
340,2020/02/20 12:59:59,Tarago,24415,64.96
341,2020/02/19 12:59:59,Cardinia,225390,78.55
342,2020/02/19 12:59:59,Greenvale,23833,88.79
343,2020/02/19 12:59:59,O'Shannassy,448,14.34
344,2020/02/19 12:59:59,Yan Yean,20735,68.5
345,2020/02/19 12:59:59,Upper Yarra,87096,43.42
346,2020/02/19 12:59:59,Maroondah,19611,88.42
347,2020/02/19 12:59:59,Silvan,35807,88.53
348,2020/02/19 12:59:59,Tarago,24429,65
349,2020/02/19 12:59:59,Thomson,594398,55.65
350,2020/02/19 12:59:59,Sugarloaf,89368,92.84
351,2020/02/08 12:59:59,O'Shannassy,253,8.1
352,2020/02/08 12:59:59,Cardinia,228493,79.63
353,2020/02/08 12:59:59,Greenvale,23412,87.23
354,2020/02/08 12:59:59,Yan Yean,20735,68.5
355,2020/02/08 12:59:59,Upper Yarra,87062,43.4
356,2020/02/08 12:59:59,Maroondah,19611,88.42
357,2020/02/08 12:59:59,Silvan,35788,88.48
358,2020/02/08 12:59:59,Tarago,24424,64.99
359,2020/02/08 12:59:59,Thomson,594398,55.65
360,2020/02/08 12:59:59,Sugarloaf,90425,93.94
361,2020/02/07 12:59:59,O'Shannassy,253,8.1
362,2020/02/07 12:59:59,Cardinia,228924,79.78
363,2020/02/07 12:59:59,Greenvale,23370,87.07
364,2020/02/07 12:59:59,Yan Yean,20735,68.5
365,2020/02/07 12:59:59,Silvan,36000,89
366,2020/02/07 12:59:59,Maroondah,19761,89.09
367,2020/02/07 12:59:59,Tarago,24424,64.99
368,2020/02/07 12:59:59,Thomson,594801,55.69
369,2020/02/07 12:59:59,Upper Yarra,86811,43.28
370,2020/02/07 12:59:59,Sugarloaf,90552,94.07
371,2020/02/06 12:59:59,Cardinia,229432,79.96
372,2020/02/06 12:59:59,Greenvale,23304,86.82
373,2020/02/06 12:59:59,O'Shannassy,253,8.1
374,2020/02/06 12:59:59,Yan Yean,20735,68.5
375,2020/02/06 12:59:59,Maroondah,19876,89.61
376,2020/02/06 12:59:59,Silvan,35739,88.36
377,2020/02/06 12:59:59,Tarago,24415,64.96
378,2020/02/06 12:59:59,Thomson,595328,55.74
379,2020/02/06 12:59:59,Upper Yarra,86949,43.34
380,2020/02/06 12:59:59,Sugarloaf,90552,94.07
381,2020/02/05 12:59:59,O'Shannassy,243,7.78
382,2020/02/05 12:59:59,Cardinia,229929,80.13
383,2020/02/05 12:59:59,Greenvale,23263,86.67
384,2020/02/05 12:59:59,Yan Yean,20783,68.66
385,2020/02/05 12:59:59,Maroondah,20029,90.3
